"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"40","HOU","HOU",2019,"330","12.1","0.000","0.000","0.000","0.000","0.000","0.023","0.024","0","5","82.8","11.3","2677","83.5","82.94","3","20","20","-0.6","5.49","112","155","114","150","310","343","322"
"63","MIL","MIL",2019,"472","13.3","0.250","0.500","0.250","0.750","0.418","0.260","0.162","3","12","92.4","7.4","2643","85.8","85.44","17","31","32","-0.4","5.61","110","155","115","149","311","327","311"
"92","ATL","ATL",2019,"405","22.7","0.111","0.111","0.133","0.222","0.169","0.213","0.141","3","27","82.7","8.6","2639","84.5","84.34","27","52","40","-0.2","5.83","108","152","114","149","317","339","308"
"199","CIN","CIN",2021,"654","30.4","0.184","0.122","0.229","0.306","0.225","0.274","0.224","9","49","85.9","14.9","2626","85.8","86.33","36","102","97","0.5","6.26","109","149","117","147","312","333","298"
"123","SD","SD",2020,"996","12.3","0.294","0.265","0.350","0.559","0.375","0.325","0.241","10","34","86.9","17.0","2609","87.1","87.73","25","67","56","0.6","6.24","113","148","140","146","310","338","321"
"47","HOU","HOU",2020,"322","14.6","0.167","0.250","0.200","0.417","0.238","0.222","0.176","2","12","84.9","4.3","2599","82.3","82.65","11","26","21","0.3","6.16","109","153","119","149","319","335","308"
"222","LAD","LAD",2021,"1391","16.0","0.190","0.063","0.300","0.254","0.205","0.199","0.171","12","63","80.1","10.1","2598","84.3","84.55","42","116","106","0.3","6.15","106","153","111","148","315","332","297"
"28","CHC","CHC",2019,"401","7.0","0.500","0.000","0.750","0.500","0.435","0.388","0.417","3","6","88.3","24.0","2572","83.0","82.85","3","13","15","-0.1","5.79","119","152","108","152","304","335","312"
"36","HOU","HOU",2018,"293","12.3","0.091","0.000","0.143","0.091","0.080","0.140","0.150","1","11","81.3","46.0","2562","83.6","83.94","7","19","17","0.3","6.09","103","149","108","147","308","329","305"
"38","MIL","MIL",2021,"607","6.3","0.364","0.273","0.429","0.636","0.410","0.175","0.106","4","11","88.4","11.8","2555","85.8","86.51","7","18","20","0.7","6.22","110","154","112","149","315","339","306"
"109","LAD","LAD",2020,"493","22.1","0.233","0.033","0.368","0.267","0.233","0.267","0.237","7","30","84.6","12.9","2552","87.1","87.53","25","64","45","0.4","6.14","110","157","116","148","309","338","303"
"107","PIT","PIT",2018,"372","28.8","0.259","0.074","0.318","0.333","0.276","0.283","0.253","7","27","88.8","13.6","2542","87.6","87.40","10","54","53","-0.2","5.74","115","150","113","148","317","341","311"
"264","LAD","LAD",2019,"1481","17.8","0.264","0.181","0.362","0.444","0.307","0.283","0.248","19","72","86.9","5.8","2541","85.2","84.83","48","139","125","-0.4","5.67","110","154","114","146","307","333","299"
"80","CHC","CHC",2022,"608","13.2","0.167","0.056","0.231","0.222","0.168","0.215","0.223","3","18","85.8","21.2","2539","82.1","82.23","10","34","46","0.1","6.08","105","150","119","147","306","336","299"
"275","LAD","LAD",2018,"1466","18.8","0.271","0.169","0.424","0.441","0.333","0.255","0.214","16","59","89.6","14.0","2522","85.5","85.49","52","134","141","0.0","5.89","109","151","111","148","313","340","311"
"252","SD","SD",2021,"1258","20.0","0.150","0.100","0.167","0.250","0.214","0.244","0.164","9","60","83.6","20.9","2521","85.8","85.88","31","132","120","0.1","6.00","112","151","124","144","307","328","314"
"56","NYM","NYM",2021,"319","17.6","0.133","0.200","0.167","0.333","0.192","0.130","0.105","2","15","83.7","28.0","2520","89.1","90.21","17","35","21","1.1","6.50","121","157","121","151","314","341","307"
"23","CHC","CHC",2018,"473","4.9","0.143","0.143","0.250","0.286","0.178","0.119","0.108","1","7","86.7","-6.8","2519","81.9","81.76","6","12","11","-0.1","6.04","116","151","113","150","313","331","302"
"123","SF","SF",2022,"428","28.7","0.160","0.000","0.235","0.160","0.217","0.284","0.230","4","25","82.2","22.7","2516","82.1","82.84","19","55","68","0.7","6.44","106","152","116","146","318","336","303"
"36","BOS","BOS",2019,"336","10.7","0.231","0.000","0.300","0.231","0.201","0.191","0.200","3","13","81.4","6.5","2509","86.8","87.26","6","18","18","0.5","6.06","115","155","126","150","303","334","303"
"145","BAL","BAL",2019,"474","30.6","0.270","0.216","0.364","0.486","0.331","0.318","0.255","10","37","93.7","15.4","2502","84.6","84.03","30","76","69","-0.6","5.51","108","151","121","149","316","327","311"
"246","LAD","LAD",2022,"1376","17.9","0.224","0.164","0.283","0.388","0.271","0.224","0.171","15","67","84.1","15.6","2496","85.2","85.79","38","124","122","0.6","6.30","108","155","120","148","316","329","298"
"71","CIN","CIN",2019,"438","16.2","0.167","0.056","0.333","0.222","0.192","0.141","0.096","3","18","80.9","25.6","2494","85.4","84.86","17","42","29","-0.5","5.48","119","158","130","151","313","336","311"
"226","SD","SD",2022,"1043","21.7","0.304","0.268","0.368","0.571","0.382","0.286","0.220","17","56","89.5","16.9","2486","84.0","84.57","32","112","114","0.6","6.28","109","157","115","148","306","322","306"
"2197","COL","COL",2022,"9084","24.2","0.230","0.185","0.281","0.415","0.297","0.287","0.230","133","578","85.2","15.4","2482","85.9","86.23","353","1104","1093","0.3","6.04","110","152","121","147","310","336","305"
"175","CIN","CIN",2022,"497","35.2","0.270","0.216","0.346","0.486","0.358","0.291","0.218","10","37","83.7","23.9","2480","84.6","85.05","33","78","97","0.5","6.20","109","152","125","148","308","333","302"
"86","PIT","PIT",2022,"435","19.8","0.350","0.100","0.438","0.450","0.331","0.300","0.300","7","20","86.2","12.7","2479","83.6","84.13","8","40","46","0.5","6.35","103","148","116","148","311","329","306"
"104","ATL","ATL",2022,"628","16.6","0.115","0.154","0.154","0.269","0.200","0.180","0.133","3","26","82.7","27.1","2465","83.9","84.78","26","61","43","0.9","6.47","105","153","123","147","315","348","310"
"148","SF","SF",2020,"871","17.0","0.235","0.294","0.286","0.529","0.324","0.304","0.263","8","34","85.2","21.3","2464","83.0","83.43","27","77","71","0.4","6.22","111","156","119","145","297","327","305"
"115","MIA","MIA",2019,"449","25.6","0.296","0.333","0.227","0.630","0.374","0.417","0.323","8","27","88.5","11.4","2460","85.7","85.17","14","51","64","-0.5","5.53","105","149","110","145","315","336","298"
"45","PHI","PHI",2022,"413","10.9","0.300","0.400","0.333","0.700","0.466","0.367","0.253","3","10","80.5","5.1","2460","84.6","85.17","11","23","22","0.6","6.27","106","151","123","145","316","342","309"
"3270","COL","COL",2021,"11570","28.3","0.231","0.175","0.299","0.406","0.295","0.270","0.209","186","805","86.7","13.1","2457","86.1","86.44","560","1606","1664","0.3","6.06","110","152","121","146","306","338","309"
"60","OAK","OAK",2021,"399","15.0","0.118","0.000","0.125","0.118","0.129","0.266","0.232","2","17","86.0","10.9","2453","84.0","84.16","10","36","24","0.2","6.01","110","148","116","149","307","342","314"
"103","STL","STL",2022,"451","22.8","0.269","0.038","0.389","0.308","0.269","0.217","0.206","7","26","83.6","4.7","2449","84.8","85.20","17","50","53","0.4","6.15","110","152","116","146","310","333","306"
"105","PIT","PIT",2019,"571","18.4","0.161","0.129","0.267","0.290","0.196","0.124","0.107","5","31","79.8","5.6","2445","83.8","83.50","23","51","54","-0.3","5.67","114","150","124","150","317","345","316"
"163","SD","SD",2018,"1213","13.4","0.211","0.053","0.267","0.263","0.222","0.294","0.271","8","38","85.6","21.3","2443","82.3","81.43","25","81","82","-0.9","5.38","107","146","113","147","314","327","307"
"105","PIT","PIT",2021,"394","26.6","0.343","0.229","0.458","0.571","0.401","0.242","0.215","12","35","85.1","1.6","2441","85.8","86.37","19","62","43","0.6","6.24","107","151","117","146","310","333","299"
"123","PHI","PHI",2018,"579","21.2","0.324","0.235","0.360","0.559","0.391","0.352","0.286","11","34","86.9","7.8","2441","86.2","86.05","17","65","58","-0.1","5.76","112","150","111","149","304","336","304"
"1105","COL","COL",2020,"4582","24.1","0.247","0.243","0.299","0.490","0.333","0.314","0.233","60","243","84.9","12.2","2429","86.1","86.53","202","550","555","0.4","6.09","114","152","117","146","309","334","308"
"89","STL","STL",2019,"406","21.9","0.143","0.190","0.200","0.333","0.236","0.154","0.091","3","21","81.1","22.5","2425","85.8","85.51","15","38","51","-0.3","5.75","112","153","110","150","310","348","308"
"109","MIL","MIL",2018,"629","17.3","0.214","0.357","0.176","0.571","0.326","0.385","0.257","6","28","89.6","21.5","2423","83.4","82.91","21","59","50","-0.5","5.63","110","152","119","151","323","334","309"
"164","ARI","ARI",2021,"1314","12.5","0.231","0.212","0.333","0.442","0.288","0.222","0.216","12","52","86.0","16.4","2419","85.3","85.85","30","90","74","0.5","6.18","108","153","122","149","305","342","309"
"76","STL","STL",2021,"528","14.4","0.333","0.389","0.308","0.722","0.473","0.411","0.251","6","18","83.4","27.6","2416","85.7","86.62","14","41","35","0.9","6.36","112","154","119","148","306","341","307"
"124","MIA","MIA",2022,"501","24.8","0.310","0.207","0.364","0.517","0.384","0.320","0.265","9","29","84.6","19.8","2411","84.7","85.09","15","51","73","0.4","6.27","98","147","116","146","307","333","299"
"83","NYM","NYM",2022,"410","20.2","0.273","0.273","0.222","0.545","0.377","0.320","0.243","6","22","86.3","17.8","2409","84.4","84.85","11","42","41","0.5","6.17","109","153","116","145","314","343","306"
"173","SF","SF",2018,"1253","13.8","0.265","0.204","0.313","0.469","0.334","0.330","0.248","13","49","88.4","8.2","2409","84.6","83.70","29","93","80","-0.9","5.44","114","148","112","147","312","336","307"
"83","CIN","CIN",2018,"394","21.1","0.125","0.208","0.125","0.333","0.187","0.201","0.152","3","24","84.6","1.9","2408","86.8","86.35","18","47","36","-0.4","5.72","111","150","107","143","320","320","305"
"112","NYM","NYM",2018,"574","19.5","0.174","0.087","0.235","0.261","0.243","0.255","0.185","4","23","87.6","-0.1","2406","87.8","88.35","23","58","54","0.6","6.16","109","149","110","148","318","335","309"
"55","ARI","ARI",2020,"485","11.3","0.200","0.000","0.286","0.200","0.160","0.163","0.181","2","10","76.6","18.4","2398","85.7","86.67","8","23","32","1.0","6.43","103","148","120","148","300","331","306"
"213","SF","SF",2019,"1327","16.1","0.288","0.423","0.250","0.712","0.417","0.345","0.259","15","52","87.7","13.2","2395","84.4","83.92","31","103","110","-0.5","5.63","111","152","115","148","316","347","315"
"51","ARI","ARI",2022,"826","6.2","0.214","0.071","0.273","0.286","0.248","0.290","0.275","3","14","78.7","21.5","2387","84.9","85.23","6","28","23","0.3","6.01","109","152","126","148","311","325","300"
"101","MIA","MIA",2021,"411","24.6","0.400","0.700","0.316","1.100","0.613","0.365","0.245","12","30","85.6","25.1","2387","84.3","84.55","21","56","45","0.2","6.04","104","150","122","148","313","338","304"
"42","CHC","CHC",2021,"399","10.5","0.091","0.000","0.111","0.091","0.131","0.238","0.208","1","11","77.2","5.2","2382","85.3","85.24","5","21","21","-0.1","5.91","109","156","113","152","302","337","312"
"44","ATL","ATL",2018,"433","10.2","0.333","0.667","0.500","1.000","0.557","0.437","0.252","4","12","98.3","28.0","2382","83.3","82.60","12","21","23","-0.7","5.58","107","151","109","148","320","333","306"
"308","SF","SF",2021,"1196","25.8","0.255","0.122","0.349","0.378","0.299","0.243","0.191","25","98","84.9","17.4","2381","83.6","84.12","59","175","133","0.5","6.30","110","153","111","147","305","329","302"
"67","TOR","TOR",2019,"387","17.3","0.524","0.476","0.692","1.000","0.629","0.413","0.319","11","21","92.7","23.5","2377","84.9","84.23","13","35","32","-0.7","5.55","111","151","123","149","324","338","312"
"74","ATL","ATL",2021,"490","15.1","0.200","0.067","0.273","0.267","0.219","0.240","0.224","3","15","84.7","7.8","2368","85.1","85.45","16","46","28","0.3","6.13","108","151","133","143","308","342","305"
"2199","COL","COL",2018,"12184","18.0","0.205","0.142","0.292","0.347","0.260","0.233","0.182","111","542","85.6","10.1","2366","85.5","85.73","410","1079","1120","0.2","6.05","113","151","114","144","307","329","308"
"87","CLE","CLE",2022,"412","21.1","0.321","0.143","0.360","0.464","0.348","0.274","0.239","9","28","81.2","13.1","2360","84.5","85.40","9","48","39","0.9","6.47","106","152","116","149","312","334","306"
"95","LAA","LAA",2020,"429","22.1","0.083","0.000","0.118","0.083","0.071","0.107","0.096","2","24","85.0","6.5","2358","85.3","85.30","19","54","41","0.0","5.87","110","151","114","146","311","333","298"
"281","SD","SD",2019,"1628","17.3","0.352","0.296","0.513","0.648","0.439","0.300","0.225","25","71","88.9","14.9","2358","85.2","84.58","50","140","141","-0.6","5.49","115","149","116","150","314","345","320"
"147","PHI","PHI",2019,"613","24.0","0.344","0.250","0.357","0.594","0.400","0.358","0.290","11","32","85.9","14.8","2358","85.3","85.24","23","72","75","-0.1","5.81","109","148","119","148","313","332","307"
"2675","COL","COL",2019,"12895","20.7","0.253","0.218","0.316","0.470","0.312","0.278","0.228","166","657","88.1","9.3","2354","86.3","85.98","473","1354","1321","-0.3","5.67","112","152","116","146","317","341","313"
"82","TEX","TEX",2021,"454","18.1","0.348","0.348","0.353","0.696","0.447","0.352","0.264","8","23","90.0","10.7","2352","83.0","83.59","14","51","31","0.6","6.23","111","157","119","148","315","348","300"
"58","STL","STL",2018,"424","13.7","0.333","0.333","0.600","0.667","0.458","0.413","0.280","4","12","93.9","17.0","2352","86.8","86.96","9","27","31","0.2","5.97","116","149","105","150","313","333","314"
"246","ARI","ARI",2018,"1476","16.7","0.208","0.143","0.304","0.351","0.270","0.238","0.173","16","77","87.3","10.2","2347","81.7","81.52","49","139","107","-0.2","5.88","111","151","112","150","309","339","310"
"49","OAK","OAK",2020,"258","19.0","0.250","0.250","0.250","0.500","0.312","0.255","0.212","3","12","93.7","35.7","2343","83.3","83.40","10","27","22","0.1","5.97","104","145","113","149","301","336","317"
"36","HOU","HOU",2021,"276","13.0","0.417","0.500","0.500","0.917","0.551","0.425","0.352","5","12","83.2","19.4","2325","78.9","78.82","8","19","17","-0.1","6.07","112","151","115","149","306","332","298"
"36","TEX","TEX",2020,"404","8.9","0.182","0.182","0.182","0.364","0.222","0.197","0.199","2","11","79.5","12.4","2318","85.0","85.28","1","13","23","0.3","6.11","110","153","113","148","310","330","303"
"251","ARI","ARI",2019,"1577","15.9","0.270","0.159","0.357","0.429","0.310","0.294","0.239","17","63","86.9","15.5","2306","84.0","83.65","53","143","108","-0.4","5.75","111","151","117","151","310","344","314"
"75","OAK","OAK",2018,"358","20.9","0.333","0.333","0.375","0.667","0.429","0.279","0.251","7","21","82.9","7.3","2301","84.2","83.77","15","45","30","-0.4","5.68","112","148","117","150","303","339","309"
"48","SEA","SEA",2021,"271","17.7","0.222","0.278","0.231","0.500","0.296","0.285","0.234","4","18","84.8","20.1","2295","83.8","84.68","7","27","21","0.9","6.54","111","153","114","149","309","330","297"
"57","WSH","WSH",2019,"419","13.6","0.182","0.273","0.167","0.455","0.255","0.306","0.229","2","11","86.8","20.4","2287","82.3","81.90","11","25","32","-0.4","5.71","114","150","115","151","308","327","305"
"77","WSH","WSH",2018,"432","17.8","0.294","0.529","0.182","0.824","0.462","0.257","0.185","5","17","86.6","2.1","2286","84.5","84.49","16","38","39","0.0","5.99","113","153","119","149","323","335","304"
"54","NYM","NYM",2019,"438","12.3","0.385","0.077","0.556","0.462","0.385","0.229","0.178","5","13","88.6","11.0","2278","88.6","88.80","5","24","30","0.2","5.97","112","150","116","148","309","333","302"
"48","LAA","LAA",2018,"273","17.6","0.200","0.000","0.375","0.200","0.208","0.215","0.173","3","15","79.2","22.5","2264","82.2","81.87","13","27","21","-0.3","5.69","107","152","113","145","320","348","295"
"13","PHI","PHI",2021,"464","2.8","1.000","0.000","1.000","1.000","0.879","0.852","0.909","1","1","65.9","27.0","2245","84.6","86.20","2","6","7","1.6","6.77","114","148","116","147","308","344","312"
"170","KC","KC",2022,"517","32.9","0.238","0.095","0.300","0.333","0.283","0.318","0.237","10","42","91.7","17.2","2245","84.3","85.12","28","82","88","0.8","6.42","107","153","118","147","317","332","310"
"84","CWS","CWS",2022,"332","25.3","0.188","0.188","0.167","0.375","0.347","0.367","0.210","3","16","84.5","9.0","2239","85.6","86.72","14","36","48","1.1","6.64","107","151","110","148","315","340","308"
"123","WSH","WSH",2021,"487","25.3","0.296","0.222","0.538","0.519","0.367","0.251","0.179","8","27","91.5","24.4","2226","83.8","84.38","30","65","58","0.6","6.28","105","147","119","140","307","337","295"
"58","SEA","SEA",2018,"385","15.1","0.294","0.059","0.385","0.353","0.287","0.288","0.242","5","17","89.3","17.6","2191","84.6","84.30","11","36","22","-0.3","5.71","110","148","110","144","296","331","307"
"78","MIA","MIA",2018,"404","19.3","0.136","0.000","0.214","0.136","0.115","0.123","0.103","3","22","85.8","14.1","2169","83.2","83.29","18","41","37","0.1","5.96","109","152","110","149","312","340","307"
"43","WSH","WSH",2022,"370","11.6","0.250","0.313","0.300","0.563","0.340","0.262","0.217","4","16","82.2","3.0","2106","80.9","81.58","9","26","17","0.7","6.55","119","153","119","143","314","333","299"